Longitud,Latitud,Country,CODE,Concentrations of fine particulate matter rural (PM2.5),Concentrations of fine particulate matter urban (PM2.5),Concentrations of fine particulate matter total (PM2.5),Average,Ponderate
65,33,Afghanistan,AFG,48.7 [36.5-74.6],59.9 [45.6-80.0],53.2 [40.1-75.8],53.2,0.564156946
20.26972,39.78333,Albania,ALB,16.9 [15.3-19.4],18.2 [16.5-21.0],17.9 [16.3-20.6],17.9,0.189819724
3,28,Algeria,DZA,37.6 [21.1-79.9],34.5 [17.2-73.2],35.2 [19.8-71.9],35.2,0.373276776
,,Amercian Samoa,ASM,10.2 [4.1-24.4],10.9 [4.2-27.0],10.6 [4.1-26.0],10.6,0.112407211
1.6,42.5,Andorra,AND,9.1 [7.6-10.9],11.5 [10.5-13.2],9.9 [9.8-12.6],9.9,0.104984093
18.5,-12.5,Angola,AGO,27.7 [16.3-53.8],28.4 [15.5-60.1],27.9 [16.0-53.8],27.9,0.295864263
-61.8,17.05,Antigua and Barbuda,ATG,14.9 [8.2-28.1],18.0 [10.5-34.2],17.9 [10.4-34.1],17.9,0.189819724
-64,-34,Argentina,ARG,12.3 [9.4-21.6],11.7 [9.9-17.4],11.8 [9.8-19.0],11.8,0.125132556
45,40,Armenia,ARM,23.7 [16.4-33.0],32.9 [21.0-49.0],30.5 [20.1-45.9],30.5,0.323435843
133,-27,Australia,AUS,6.1 [6.0-7.8],7.3 [7.6-10.0],7.2 [7.4-9.7],7.2,0.076352068
13.3333,47.3333,Austria,AUT,10.9 [10.6-11.4],13.1 [12.7-13.5],12.4 [12.1-12.8],12.4,0.131495228
47.5,40.5,Azerbaijan,AZE,17.8 [10.9-32.3],18.5 [10.7-38.6],18.2 [10.8-35.4],18.2,0.19300106
-76,24.25,Bahamas,BHM,15.6 [7.8-31.9],19.0 [8.9-37.5],17.6 [8.6-36.1],17.6,0.186638388
25.9304142,50.6377716,Bahrain,BHR,70.7 [49.6-98.4],69.0 [51.5-90.6],69.0 [51.7-90.7],69,0.731707317
23.6849937,90.3563309,Bangladesh,BGD,52.9 [44.9-64.8],58.6 [51.3-69.0],58.3 [51.0-68.7],58.3,0.618239661
-59.5333,13.1667,Barbados,BRB,20.3 [11.8-37.4],22.4 [13.5-41.3],22.2 [13.4-41.1],22.2,0.235418876
53.7098083,27.9533882,Belarus,BLR,16.4 [14.0-20.0],19.3 [17.4-23.3],18.1 [16.2-21.6],18.1,0.191940615
4,50.8333,Belgium,BEL,9.4 [9.1-10.3],13.0 [12.6-13.7],12.9 [12.4-13.5],12.9,0.136797455
-88.75,17.25,Belize,BLZ,21.2 [9.5-47.2],20.9 [8.8-46.9],21.2 [9.4-47.2],21.2,0.224814422
2.25,9.5,Benin,BEN,41.3 [22.4-104.6],30.4 [18.2-55.2],33.1 [20.6-68.9],33.1,0.351007423
90.5,27.5,Bhutan,BTN,35.3 [31.2-44.2],35.4 [37.7-48.1],35.3 [32.8-45.0],35.3,0.374337222
-65,-17,Bolivia (Plurinational State of),BOL,18.4 [12.8-30.6],23.3 [17.9-33.8],20.2 [14.8-32.2],20.2,0.214209968
18,44,Bosnia and Herzegovina,BIH,24.3 [21.5-27.6],29.7 [25.7-33.3],27.3 [23.7-30.7],27.3,0.289501591
